Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_01.wav,"[62.18583, 57.528336, 62.67944, 53.62071, 57.58246, 56.83643, 51.17744, 53.344643, 47.943546, 50.934685, 55.22683, 51.7329, 56.659367, 60.590458, 57.808903]","[17.59933597668139, 6.142987833092255, 10.255801327626354, 7.068596669982764, 5.25478720664978, 16.985972503954102, 13.771795051399662, 10.241561594496792, 9.590236761695927, 4.92110033547284, 10.249151938062694, 8.026133148398783, 8.192443349911454, 9.893577553642293, 10.183162937062749]","[46.049886621315196, 54.79818594104308, 46.1859410430839, 48.16326530612245, 43.034013605442176, 63.73696145124717, 59.78231292517007, 48.17233560090703, 49.28344671201814, 43.006802721088434, 50.19047619047619, 53.13378684807256, 38.86167800453515, 73.71882086167801, 55.427865176688165]","[(1163, 1146.434976779209), (10826, 94.12606012327946), (21665, 28.39432538104303), (30964, 6.3137587260418595), (49532, 1.9225426531775178), (54133, 2.369629636018243), (66509, 1.191847616099293), (81342, 0.5858738352231105), (87841, 1.1918476160992935), (100217, 2.3696296360182356), (104818, 1.9225426531775143), (123386, 6.313758726041854), (132685, 28.39432538104301), (143524, 94.12606012327946), (153187, 1146.4349767792091)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_02.wav,"[56.856525, 55.889988, 60.064003, 51.285583, 58.624573, 64.03381, 54.61704, 62.03531, 63.774906, 64.585884, 61.87504, 61.271927, 62.160152, 56.26474, 55.16211]","[12.156029408364448, 8.311313594320035, 8.484202435716899, 5.58419240433501, 7.842194755739045, 5.069546000058402, 9.1753577828751, 3.6268348678103868, 7.206829698268502, 5.549732986227831, 10.70129870647742, 7.8450715109024065, 5.165156007431159, 4.553302390489816, 6.0244441741988775]","[43.605442176870746, 53.1609977324263, 55.70521541950114, 41.142857142857146, 56.6530612244898, 53.68707482993197, 51.759637188208615, 57.378684807256235, 47.51927437641723, 51.99092970521542, 50.439909297052154, 59.64172335600907, 47.51473922902494, 39.941043083900226, 47.6624293359236]","[(1377, 1113.9222483731735), (15503, 78.30534198276732), (21621, 19.754912885833374), (31073, 3.3312322582680425), (50077, 2.544054157274217), (53559, 3.9336766717617593), (67961, 1.0894150416480077), (81337, 0.43336341986597243), (86389, 1.0894150416480044), (100791, 3.9336766717617637), (104273, 2.544054157274226), (123277, 3.3312322582680443), (132729, 19.75491288583337), (138847, 78.30534198276733), (152973, 1113.9222483731737)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_03.wav,"[54.43934, 52.265697, 56.05894, 51.547535, 52.27274, 52.09105, 54.08298, 60.200348, 60.71368, 54.110878, 47.922142, 56.738617, 56.343246, 61.903194, 48.01033]","[8.247499981202012, 7.217933969444684, 6.280569285376086, 6.246490856920857, 4.540358178790138, 8.889813105841833, 4.534437389728347, 7.5533476134989455, 4.020097772618534, 6.22656025058989, 2.6380058197814615, 4.297415156560462, 4.900945567836364, 6.109376142211702, 3.8000891770934686]","[37.85487528344671, 46.27210884353742, 43.59183673469388, 41.60090702947846, 47.17460317460317, 41.297052154195015, 47.006802721088434, 47.30612244897959, 49.66439909297053, 55.07482993197279, 53.002267573696145, 43.219954648526084, 52.0, 41.01587301587302, 47.62321341305227]","[(1162, 1761.1384210778608), (15459, 32.1793057603503), (20963, 4.910309432862263), (31640, 0.7418773894000431), (49496, 0.9883885998814396), (54164, 1.2827614402347056), (61741, 0.5831329220042945), (81773, 0.329723532790926), (92609, 0.583132922004304), (100186, 1.2827614402347056), (104854, 0.9883885998814632), (122710, 0.7418773894000467), (133387, 4.910309432862268), (138891, 32.1793057603503), (153188, 1761.1384210778608)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_04.wav,"[64.455, 53.7927, 48.708256, 60.582924, 53.7656, 51.186874, 52.70732, 52.150208, 54.22385, 55.668667, 64.837685, 62.40382, 62.41135, 50.79025, 48.510464]","[7.740884609953609, 5.089136989166339, 6.43384350530271, 4.336419023595573, 5.163615575570258, 4.81871527431178, 7.695721332649035, 8.127413760926824, 4.657327716787612, 7.261250612680756, 4.254055538746927, 6.157180665572274, 7.064073052745135, 5.418321816735745, 5.425211759505882]","[53.51020408163265, 50.07709750566893, 58.249433106575964, 52.86621315192744, 49.038548752834465, 49.87755102040816, 48.09070294784581, 50.7891156462585, 50.013605442176875, 48.50340136054422, 44.08163265306122, 51.47392290249433, 47.48299319727891, 50.53968253968254, 46.303056309341784]","[(1232, 2002.9373705475448), (11667, 92.80215646782186), (21010, 29.586914221647515), (30946, 5.2357383589564), (47942, 2.551661027944258), (54150, 3.5589213742845835), (61798, 1.1253244817678392), (81499, 0.5122497437554833), (92552, 1.1253244817678636), (100200, 3.5589213742845747), (106408, 2.551661027944267), (123404, 5.2357383589564), (133340, 29.58691422164753), (142683, 92.80215646782183), (153118, 2002.9373705475448)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_05.wav,"[63.385925, 60.777782, 61.74401, 53.79042, 67.42676, 69.20392, 65.6664, 65.5064, 62.725285, 70.02494, 59.601353, 62.768116, 75.30526, 62.85313, 66.34738]","[7.095111152536214, 3.71271032296742, 4.649140124785758, 5.327040395544221, 5.8075505757837425, 5.7755604037083685, 5.026556465530857, 8.396451450174762, 4.6829250793615795, 4.59590908167662, 5.085097945162228, 7.324435853131815, 5.043392224858205, 6.27432875141191, 3.4947683251327057]","[55.84580498866213, 40.34920634920635, 47.188208616780045, 46.91609977324263, 49.85487528344671, 48.8390022675737, 41.85487528344672, 48.26303854875283, 53.519274376417236, 53.38775510204082, 56.816326530612244, 45.419501133786845, 39.47845804988662, 50.02721088435374, 49.08582594318352]","[(1477, 821.6554144836879), (15429, 75.33276894134389), (26452, 23.142616137779548), (30873, 4.586249331923107), (50708, 5.912474891343054), (55118, 5.292942545005253), (66193, 1.5737218929940013), (72757, 0.4893105850856232), (88157, 1.5737218929939993), (99232, 5.292942545005257), (103642, 5.912474891343068), (123477, 4.586249331923081), (127898, 23.142616137779534), (138921, 75.33276894134387), (152873, 821.6554144836879)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_06.wav,"[45.829586, 51.289726, 54.38224, 57.554848, 67.15882, 74.76768, 74.85132, 74.23513, 70.74925, 51.41768, 65.70729, 69.86086, 66.423775, 66.66329, 67.71001]","[17.675642350818528, 1.3071560613666189, 7.292764447075093, 6.112424149926353, 5.9586489994433665, 6.364823639437201, 5.365219137941797, 4.226864555606707, 7.984491346758746, 11.717531146548156, 4.177846828575379, 2.6850609361038855, 5.0345503715410205, 4.1264559018946745, 4.229319601186684]","[57.28798185941043, 42.84353741496598, 56.33106575963719, 56.91609977324263, 48.68027210884354, 49.24716553287982, 44.62131519274376, 48.67120181405896, 52.816326530612244, 44.92063492063492, 45.451247165532884, 53.106575963718825, 56.82086167800453, 46.72562358276644, 58.96174335893429]","[(1399, 2199.0219501866463), (11215, 145.2016814170507), (20895, 28.528527407557394), (33677, 6.104942802940488), (41165, 3.4806871700627187), (59822, 3.6304469318675974), (63542, 2.0676819013010554), (73046, 0.7147428514306061), (90808, 2.067681901301058), (94528, 3.6304469318675916), (113185, 3.480687170062723), (120673, 6.104942802940493), (133455, 28.528527407557405), (143135, 145.20168141705074), (152951, 2199.0219501866463)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_07.wav,"[56.030766, 60.29156, 61.390427, 59.98583, 72.89241, 70.78103, 77.01593, 73.470146, 49.074615, 62.094296, 62.51423, 68.15917, 65.20172, 63.06328, 68.16071]","[9.802004788070917, 4.188934304208185, 7.264747487248054, 7.56313508553874, 4.337212301435924, 4.6901648484414356, 2.5980514992538484, 4.941925977445429, 12.8035286674276, 4.754404143923672, 3.3140753922496167, 4.699955903093463, 7.23162529480067, 7.075938947742716, 4.71560116968162]","[53.77324263038549, 52.29931972789116, 39.859410430839006, 47.80952380952381, 43.383219954648524, 49.60544217687075, 50.94784580498866, 47.414965986394556, 58.276643990929706, 46.61224489795919, 49.0249433106576, 58.775510204081634, 51.723356009070294, 55.609977324263035, 45.60027511478199]","[(1401, 1088.581253845478), (11017, 126.3206479397297), (22181, 27.957716453019493), (33009, 5.70223676027402), (42921, 6.499318470420407), (59506, 3.820033507856814), (62790, 2.661254309443366), (72641, 0.8567712274028907), (91560, 2.661254309443366), (94844, 3.8200335078568175), (111429, 6.499318470420415), (121341, 5.702236760274009), (132169, 27.95771645301949), (143333, 126.32064793972968), (152949, 1088.581253845478)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_08.wav,"[62.924, 70.20429, 70.133514, 66.016594, 68.408066, 69.211105, 69.38217, 68.75857, 64.10635, 67.280846, 56.788326, 48.876186, 59.47012, 53.588657, 61.751915]","[3.272561562178368, 4.340605816581783, 7.735063000637594, 5.538479441782416, 3.231296793646401, 3.068302573557871, 7.86459177754642, 5.292390879869691, 4.2308966112267665, 5.289710722198444, 5.8588247000963225, 3.2768806542402933, 3.610454488079995, 2.4177628874895163, 2.726227386266969]","[67.46485260770976, 55.57369614512472, 50.843537414965986, 45.36054421768707, 42.76190476190476, 46.45351473922903, 49.55102040816326, 51.274376417233555, 47.800453514739225, 38.94331065759638, 49.49206349206349, 47.759637188208615, 41.782312925170075, 45.77324263038549, 54.11676691865411]","[(3267, 465.9559826048018), (12407, 23.729879660733342), (24818, 8.82855719959859), (40517, 1.5436706438094183), (41711, 1.0523372238926785), (58866, 0.7654707952191617), (71722, 0.46792125265698603), (82307, 0.3089101764342829), (82628, 0.4679212526569888), (95484, 0.7654707952191634), (112639, 1.052337223892677), (113833, 1.543670643809419), (129532, 8.828557199598588), (141943, 23.729879660733335), (151083, 465.9559826048018)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_09.wav,"[80.23657, 81.29028, 74.88232, 66.84268, 60.14181, 53.405563, 44.013622, 54.921513, 59.152203, 52.963295, 48.729282, 58.021576, 56.830383, 51.45686, 48.16533]","[5.770502176790953, 8.84439644481366, 5.748067720070962, 3.9568917430837507, 5.050589965789446, 5.183903198312258, 5.072668130465207, 2.1711059191840745, 5.147742965103437, 5.430925978414182, 3.2668879453835653, 2.3005441463846226, 2.914637899794754, 4.23422721394759, 4.852607938283611]","[40.018140589569164, 41.229024943310655, 49.24716553287982, 47.78231292517007, 52.657596371882086, 41.97278911564626, 58.730158730158735, 55.63265306122449, 48.87981859410431, 51.97732426303855, 60.35827664399093, 48.90249433106576, 48.662131519274375, 55.70068027210884, 39.040093473141525]","[(1841, 1326.5418047236078), (10697, 278.36859493846487), (21382, 81.77613244641583), (32186, 11.28680299483511), (41467, 7.309814625651415), (55249, 5.907208232992582), (61889, 4.2784971021375675), (73306, 1.2979996057374064), (92461, 4.2784971021375835), (99101, 5.907208232992588), (112883, 7.309814625651408), (122164, 11.286802994835114), (132968, 81.77613244641582), (143653, 278.36859493846487), (152509, 1326.5418047236078)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_10.wav,"[63.356564, 62.083145, 63.67834, 61.34769, 68.63641, 75.300156, 68.38622, 68.70194, 70.9022, 68.997734, 70.568245, 70.45817, 69.85108, 68.48216, 70.34948]","[7.638005055365326, 5.892902346593993, 4.818347861735328, 5.225556248894593, 6.879001601953947, 4.402518880669959, 4.557950274708371, 5.454586984662802, 6.83897350959125, 4.460501296090937, 3.47371339940721, 7.24391139353559, 3.746849633171223, 6.5375489630414885, 5.3156125261531475]","[43.83219954648526, 54.285714285714285, 42.054421768707485, 48.11337868480725, 59.09750566893424, 42.326530612244895, 48.63945578231292, 45.95011337868481, 57.54195011337869, 48.70748299319728, 57.77324263038548, 42.956916099773245, 66.35374149659864, 52.88888888888889, 59.12477339388209]","[(2630, 425.5714358967013), (10893, 54.33597840991249), (24935, 14.429797198345819), (32394, 2.557206326611572), (41623, 1.6306799739364821), (60163, 1.1168548055710081), (62217, 0.7917309353433261), (82267, 0.24510895832206223), (92133, 0.7917309353433296), (94187, 1.1168548055710152), (112727, 1.6306799739364823), (121956, 2.5572063266115737), (129415, 14.429797198345824), (143457, 54.33597840991248), (151720, 425.5714358967013)]"
